task_id,node,start_min,end_min,cpu_cores,duration_min,queue_wait_min,energy_kwh,carbon_g
1,eu-west-1,4.74,7.74,1,3,0.0,0.031574,5.683
0,eu-north-1,2.92,9.92,1,7,0.0,0.06055,5.449
2,us-east-1,7.95,14.95,3,7,0.0,0.103717,41.487
4,eu-west-1,13.9,15.9,1,2,0.0,0.021049,3.789
3,eu-north-1,11.63,17.63,1,6,0.0,0.0564,5.076
5,us-east-1,15.55,21.55,3,6,0.0,0.11536,40.376
6,eu-north-1,16.63,23.63,1,7,0.0,0.06055,5.449
7,eu-west-1,19.58,24.58,3,5,0.0,0.062156,11.188
8,us-east-1,21.24,25.24,3,4,0.0,0.059267,20.743
9,eu-north-1,24.67,32.67,1,8,0.0,0.0692,4.844
10,eu-west-1,28.09,33.09,3,5,0.0,0.062156,11.188
11,us-east-1,30.11,33.11,1,3,0.0,0.03773,11.319
12,eu-north-1,33.98,35.98,2,2,0.0,0.0188,1.316
13,eu-west-1,35.26,39.26,1,4,0.0,0.042098,4.631
14,us-east-1,38.8,42.8,3,4,0.0,0.059267,17.78
16,eu-west-1,44.83,46.83,2,2,0.0,0.022837,2.512
15,eu-north-1,42.22,47.22,3,5,0.0,0.05125,6.15
17,us-east-1,47.49,53.49,3,6,0.0,0.0889,26.67
19,eu-west-1,52.72,54.72,1,2,0.0,0.021049,2.315
18,eu-north-1,51.14,57.14,2,6,0.0,0.0564,6.768
